id,month,content,temperature,picture,planted_flag,harvested_flag,post_id
48,2020/07/01,カレンダーの内容,27,./db/fixtures/image/noimage.png,false,false,11
49,2020/08/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,11
50,2020/09/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,11
51,2020/10/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,11
52,2020/02/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,true,false,12
53,2020/03/01,カレンダーの内容,27,./db/fixtures/image/noimage.png,false,false,12
54,2020/04/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,12
55,2020/05/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,12
56,2020/02/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,true,false,13
57,2020/03/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,13
58,2020/04/01,カレンダーの内容,22,./db/fixtures/image/noimage.png,false,false,13
59,2020/05/01,カレンダーの内容,22,./db/fixtures/image/noimage.png,false,false,13
60,2020/06/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,13
61,2020/07/01,カレンダーの内容,27,./db/fixtures/image/noimage.png,false,false,13
62,2020/08/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,13
63,2020/09/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,13
64,2020/02/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,true,false,14
65,2020/03/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,true,false,15
66,2020/04/01,カレンダーの内容,27,./db/fixtures/image/noimage.png,false,false,15
67,2020/05/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,15
68,2020/06/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,15
69,2020/07/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,15
70,2020/08/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,15
71,2020/09/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,15
72,2020/10/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,15
73,2020/02/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,true,false,16
74,2020/03/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,16
75,2020/03/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,true,false,17
76,2020/04/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,17
77,2020/05/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,17
78,2020/06/01,カレンダーの内容,26,./db/fixtures/image/noimage.png,false,false,17
79,2020/07/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,17
80,2020/08/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,17
81,2020/09/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,17
82,2020/10/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,17
83,2020/02/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,true,false,18
84,2020/03/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,18
85,2020/04/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,18
86,2020/05/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,18
87,2020/06/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,18
88,2020/07/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,18
89,2020/08/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,18
90,2020/02/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,true,false,19
91,2020/03/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,19
92,2020/04/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,19
93,2020/05/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,19
94,2020/06/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,19
95,2020/07/01,カレンダーの内容,24,./db/fixtures/image/noimage.png,false,false,19
96,2020/08/01,カレンダーの内容,25,./db/fixtures/image/noimage.png,false,false,19
